Lead 1,Lead 2,Lead 3,Lead 4,Lead 5,Lead 6,Lead 7,Lead 8
7166,2894,6484,5468,8151,6973,16264,5984
6961,2899,6354,5375,7998,6837,15920,5831
6904,2904,6281,5312,7904,6757,15739,5770
6852,2902,6210,5250,7813,6680,15561,5711
6800,2898,6141,5190,7723,6605,15385,5653
6745,2893,6073,5132,7635,6530,15210,5595
6688,2888,6005,5074,7547,6456,15038,5538
6631,2884,5938,5017,7461,6383,14865,5481
6575,2883,5871,4960,7375,6309,14694,5424
6522,2883,5802,4901,7287,6235,14523,5366
11826,11824,11825,13619,-32645,23,2,5713
6461,2889,5734,4844,7201,6161,14355,5310
6402,2893,5668,4787,7115,6088,14187,5253
6352,2894,5601,4731,7032,6017,14022,5198
6299,2894,5538,4677,6951,5948,13860,5144
6192,2886,5416,4574,6794,5814,13539,5037
6139,2883,5358,4526,6718,5750,13382,4986
6086,2880,5299,4477,6643,5686,13227,4935
6027,2880,5240,4427,6566,5620,13070,4882
5969,2883,5180,4376,6488,5554,12914,4827
5916,2887,5121,4325,6412,5488,12763,4773
5865,2889,5062,4274,6336,5424,12611,4718
5813,2890,5003,4224,6261,5360,12461,4663
5761,2892,4946,4177,6190,5301,12315,4615
5711,2888,4892,4132,6121,5244,12175,4569
5657,2885,4840,4089,6052,5186,12034,4522
5602,2883,4789,4046,5985,5130,11896,4476
5549,2881,4739,4002,5918,5073,11757,4429
5504,2878,4686,3958,5850,5016,11619,4383
5453,2881,4632,3914,5782,4958,11482,4335
5399,2887,4579,3868,5714,4900,11345,4285
5356,2891,4527,3825,5648,4844,11211,4239
5314,2891,4476,3783,5583,4789,11077,4191
5269,2888,4426,3742,5520,4736,10946,4146
5221,2888,4378,3702,5458,4684,10818,4104
5168,2888,4331,3662,5399,4634,10692,4061
5121,2882,4284,3623,5339,4584,10566,4019
5075,2878,4238,3585,5279,4533,10441,3977
5026,2877,4191,3545,5218,4481,10315,3933
4975,2881,4143,3505,5157,4428,10189,3889
4700,2879,3864,3274,4808,4126,9475,3638
